Company Name,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions
Inox India Pvt. Ltd.,179.63,328.82,9.08,3/31/2012,36.03,322.64,285.34,447.02,447.02,325.64,,-53.35,6.4,21.82,32.37,155.77,413.15,400.88,9.08,3/31/2013,137.38,369.7,322.45,701.82,701.82,390.61,,,,41.36,44.51,182.4,333.62,337.25,9.08,3/31/2014,87.66,317.95,276.13,681.37,681.37,314.01,,18.13,91.03,19.29,20.45,276.8,320.71,346.33,9.08,3/31/2015,40.51,336.7,296.38,707.91,707.91,328.03,,2.03,42.61,14.59,15.79,293.24,239.79,342.66,9.08,3/31/2016,-70.64,380.02,261.08,629.32,629.32,331.34,,-20.94,87.07,-54.51,-55.68,284.85,230.83,323,9.08,3/31/2017,38.11,333.62,269.69,693.19,693.19,308.1,,-7.6,33.51,12.47,12.47,323.34,256.97,463.49,9.08,3/31/2018,-74.44,441.29,350.05,822.43,822.43,449.76,,-56.07,78.65,25.54,25.54,451.47,232.42,652.43,9.08,3/31/2019,-11.61,705.25,523.78,747.15,747.15,638.68,,-22.03,59.48,-23.93,-23.93,439.02,302.8,663.94,9.08,3/31/2020,129.99,563.81,481.33,664.64,664.64,643.73,,-1.91,163.9,69.55,70.64,322.44,398.75,613.25,9.08,3/31/2021,204.42,508.48,447.06,728.51,728.51,590.73,,28.72,228.52,95.34,97.16,298.84
Intercorridor Systems Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,0.08,0.05,3/31/2005,0.03,0.1,0.1,0.04,0.04,0.08,,,-0.05,-0.02,-0.02,0.01,0.02,0.23,0.05,3/31/2006,-0.2,0.19,0.15,0.43,0.43,0.23,,-0.42,0.33,0.04,0.04,0.23,0.11,0.39,0.05,3/31/2007,-0.1,0.3,0.14,0.46,0.46,0.39,,-0.01,0.1,0.09,0.09,0.23,0.1,0.29,0.05,3/31/2008,-0.03,0.3,0.21,0.3,0.3,0.29,,-0.01,0.02,-0.01,-0.01,0.09
International Electron Devices Ltd.,14.11,96.41,3.45,3/31/2002,5.74,94.23,82.97,66.63,66.63,95.61,,,,2.01,2.96,13.97,16.82,162.76,5,3/31/2003,9.4,162.38,147.3,96.69,96.69,162.39,,,,2.71,3.89,27.01,10.16,214.51,12.03,3/31/2004,13.72,213.31,193.97,129.85,129.85,213.81,,-19.05,8.82,2.66,4.08,34.29,25.06,319.98,31.06,3/31/2005,25.07,301.15,280.51,194.28,194.28,308.01,,-31.91,17.77,14.9,18.98,41.98,36.04,351.13,31.06,3/31/2006,27.82,342.64,316.77,270.72,270.72,351.12,,-20.25,8.3,10.97,16.28,81.04,27.57,305.67,31.06,3/31/2007,18.55,318.14,293.81,253.43,253.43,300.35,,,,-8.45,-8.45,77.28,111.31,352.66,31.06,3/31/2008,37.4,335.61,309.04,321.08,321.08,352.66,,,,15.18,15.18,66.47,131.11,421.78,31.06,3/31/2009,50.89,405.43,373.01,335.56,335.56,421.78,,,,19.8,19.8,50.06,17.79,132.96,31.06,3/31/2010,-2.85,241.15,106.97,338.38,338.38,130.13,,-0.23,14.14,-109.66,-109.66,108.81,15.13,229.86,31.06,3/31/2011,-29.85,227.41,191.41,331.4,331.4,226.78,,-24.81,58.02,-0.46,-0.46,99.9
J B F Industries Ltd.,834.63,4912.44,72.02,3/31/2012,-238.79,4869.05,4382.98,3416.98,3416.98,4782.08,103.98,-329.34,284.29,-19.17,48.67,1532.7,881.79,5053.91,72.63,3/31/2013,-109.3,4986.43,4541.55,3525.65,3525.65,4981.82,105.78,-43.55,358.86,40.19,51.45,1547.78,915.32,5329.84,65.32,3/31/2014,-208.33,5283.96,4821.49,3432.1,3432.1,5267.82,107.83,129.75,384.31,-2.73,15.11,1537.93,1021.84,4600.12,65.5,3/31/2015,-272.24,4410.46,4053.38,3574.49,3574.49,4543.68,103.08,-393.17,287.16,120.2,139.43,1399.22,1477.08,4025.86,81.87,3/31/2016,-266.08,4008.1,3600.21,4318.55,4318.55,3939.94,103.81,-352.23,125.28,45.96,61.73,1831.39,1509.86,4407.87,81.87,3/31/2017,-291.42,4451.01,4080.82,4765.89,4765.89,4271.45,102.75,-145.55,471.21,25.78,35.63,2211.92,1384.65,3699.66,81.87,3/31/2018,-643.06,3737.06,3291.59,4758.21,4758.21,3573.86,97.67,-25.57,-417.95,-127.7,-122.78,2502.84,621.82,2977.4,81.87,3/31/2019,-1314.94,3755.09,2895.48,4819.38,4819.38,2964.12,95.95,-38.97,223.69,-758.09,-758.09,3710.49,304.34,2841.87,81.87,3/31/2020,-1444.28,3173.8,2744.93,4755.66,4755.66,2820.73,96.04,29.24,-196.1,-333.5,-333.5,3938.35,110.69,2216.33,81.87,3/31/2021,-1550.1,2450.83,2110.18,4682.78,4682.78,2210.16,97.67,-26.25,103.31,-193.53,-193.53,4088.39
J K Paper Ltd.,714.81,1585.94,136.62,3/31/2012,111.64,1553.21,1417.33,2405.45,2405.45,1561.27,5713.94,-594.61,5.18,25.49,49.32,549.06,738.87,1760.2,136.62,3/31/2013,-21.75,1735.12,1608.12,3088.63,3088.63,1730.37,5774.08,-791.66,123.72,29.71,37.7,572.65,661.49,2081.02,136.62,3/31/2014,-44.98,2218.89,1722.55,3735.9,3735.9,2047.15,5738.5,-332.01,130.23,-77.19,-77.19,886.91,641.38,2555.76,136.62,3/31/2015,-18.13,2607.1,2299.74,3646.8,3646.8,2541.72,5392.92,-50.02,253.97,-24.07,-24.07,883.67,962.56,2851.51,148.53,3/31/2016,-255.45,2770.32,2419.55,3834.73,3834.73,2831.35,5302.29,-33.51,403.5,60.87,60.87,846.74,1150.1,3050.82,155.96,3/31/2017,13.33,2894.43,2514.92,3933.13,3933.13,3023.25,5354.81,-259.72,561.32,153.89,162.83,833,1470.09,3177.22,175.5,3/31/2018,44.13,2920.87,2515.89,3900.01,3900.01,3129.79,5143.9,46.5,555.44,230.64,260.14,793.85,1862.97,3556.86,178.24,3/31/2019,315.94,3072.46,2580.56,4502.1,4502.1,3500.48,5101.55,-897.54,913.44,383.48,437.2,818.59,2189.81,3383.13,178.24,3/31/2020,72.96,3014.02,2513.77,4916.38,4916.38,3286.75,4656.02,-298.26,636.48,331.55,492.71,940.87,2430.82,3069.62,169.4,3/31/2021,-32.16,2656.09,2274.06,6161.91,6161.91,2978.89,4934.69,-1325.63,559.66,322.19,322.19,1048.76
Jagat Trading Enterprises Ltd.,2.12,0.34,1,3/31/2009,3.4,0.14,0.14,3.76,3.76,,,0.3,-0.3,0.2,0.2,0.22,3.43,1.54,1,3/31/2010,3.33,0.23,0.21,4.88,4.88,,,0.69,-0.12,1.31,1.31,0.43,9.44,7.39,1,3/31/2011,3.96,1.39,0.45,12.09,12.09,,,4.06,-2.74,6,6,1.65,10.56,0.82,1,3/31/2013,8.49,0.77,0.75,11.63,11.63,,,-0.37,0.35,0.05,0.05,0.01,10.28,0.59,1,3/31/2014,6.55,0.87,0.85,11.36,11.36,,,-2.53,2.68,-0.28,-0.28,0.01,9.72,1.28,1,3/31/2017,6.63,1.23,1.02,10.83,10.83,,,-0.68,0.77,0.05,0.05,0.02,9.81,1.57,1,3/31/2018,-0.56,1.47,1.3,13.61,13.61,0.01,,-2.08,-0.34,0.1,0.1,2.67,4.01,0.4,5.08,3/31/2019,0.42,2.26,1.32,11.63,11.63,0.01,,0.21,0.35,-1.86,-1.86,0.29,2.15,0.5,5.08,3/31/2020,0.3,2.36,0.72,9.35,9.35,0.01,,0.62,-0.5,-1.86,-1.86,0.3,4.83,3.85,5.08,3/31/2021,0.26,1.18,0.71,13.01,13.01,0.01,,0.78,-1.42,2.67,2.67,0.34
Jay Agrochem Ltd.,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,0.81,,,,,,0.23,6.24,3.68,3/31/1994,0.97,6.38,6.21,6.91,6.91,6.18,0.63,,,0.17,0.17,2.23,1.47,15.56,4.03,3/31/1995,0.5,15.12,14.26,12.11,12.11,15.52,0.73,,,1.24,1.65,3.94,4.95,30.04,4.07,3/31/1996,9.92,33.03,31.04,36.96,36.96,29.97,0.85,-5.16,-5.74,3.24,3.85,13.04,6.51,45.38,4.07,3/31/1997,11.07,45.55,41.01,56.46,56.46,45.23,0.83,-5.96,3.64,1.57,1.79,22.69
Jayant Paper Mills Ltd.,2.02,8.57,0.97,3/31/1989,1.21,8.73,7.95,8.94,8.94,8.46,1.83,,,0.05,0.16,4.14,2.24,15.78,0.97,3/31/1990,0.26,15.04,13.83,10.99,10.99,15.6,2.54,,,0.22,0.41,5.88,2.53,19.8,0.97,3/31/1991,0.57,19.75,17.8,11.93,11.93,19.71,2.17,,,0.29,0.53,6.48,2.68,19.45,1.26,3/31/1992,1.41,20.05,18.03,12.28,12.28,18.42,2.97,,,-0.13,-0.03,6.17,-0.87,25.65,1.26,3/31/1993,-3.45,29.61,25.99,12.39,12.39,24.78,2.97,,,-3.55,-3.55,9.87,0.5,28.96,1.26,3/31/1994,-2.38,26.4,25.11,13.76,13.76,28.4,2.35,,,1.37,1.5,9.27,2.51,33.06,1.26,3/31/1995,0,30.78,29.5,16.83,16.83,32.79,2.72,,,2.01,2.41,9.13,5.31,36.29,1.85,3/31/1996,-1.88,35.46,34.28,24.33,24.33,35.77,1.81,-6.29,1.94,1.03,1.24,10.71,24.61,44.51,2.21,3/31/1997,-3.13,44.12,42.5,50.4,50.4,42.74,1.81,-5.45,-2.58,0.01,0.01,12.64,14.44,9.13,2.38,3/31/1998,-10.87,18.56,13.54,44.56,44.56,8.94,1.45,-3.23,1.77,-9.95,-9.95,14.27
Jetking Infotrain Ltd.,31.7,39.27,5.89,3/31/2012,-0.71,37.08,32.04,68.85,68.85,33.27,26.76,-4.95,3.52,1.16,2.19,11.44,34.17,36.02,5.89,3/31/2013,6.23,32.86,29.39,66.83,66.83,33,25.49,1.91,1.54,2.47,3.16,6.03,36.09,31.48,5.89,3/31/2014,5.34,28.87,24.8,70.26,70.26,28.84,24.9,-3.91,4,1.92,2.61,6.4,37.41,29.98,5.89,3/31/2015,5.24,27.67,23.37,60.1,60.1,25.72,24.81,-1.61,4.6,1.6,2.31,5.04,38.08,26.05,5.89,3/31/2016,5.21,25.38,21.36,59.74,59.74,24.66,25.37,-2.7,1.68,0.67,0.67,3.97,39.14,29.12,5.89,3/31/2017,9.22,27.34,23.02,54.2,54.2,23.56,24.87,-1.19,0.94,1.78,1.78,3.77,39.56,25.37,5.91,3/31/2018,2.09,24.91,22.18,58.01,58.01,21.33,24.37,0.18,-0.06,0.46,0.46,7.35,38.52,22.93,5.91,3/31/2019,4.26,24.09,22.24,57.43,57.43,21.77,24.13,3.82,-4.67,-1.16,-1.16,4.16,32.41,19.58,5.91,3/31/2020,3.34,25.78,19.94,48.19,48.19,18.41,23.51,6.83,-6.17,-6.2,-6.2,4.35,32.36,14.82,5.91,3/31/2021,4.46,14.94,11.77,47.31,47.31,8.51,23.54,1.95,-0.27,-0.12,-0.12,3.49
Jhagadia Copper Ltd.,78.46,174.08,26.75,3/31/1999,-81.81,180,146.87,886.61,886.61,171.25,16.39,-69.74,15.09,0.29,0.44,122.81,72.72,179.77,26.75,3/31/2000,-131.41,192.43,157.57,1030.08,1030.08,176.94,15.89,-42.05,12.05,-5.69,-5.68,121.77,38.32,0.03,19.97,3/31/2001,-122.74,0.4,0.39,965.21,965.21,,16.51,-66,13.61,-0.37,-0.37,45.86,38.59,0.31,109.86,3/31/2002,-95.87,0.04,0.03,1090.55,1090.55,,15.89,-47.07,-11.48,0.27,0.27,39.13,38.59,,109.86,3/31/2003,-34.56,,,1203.37,1203.37,,15.27,-34.79,17.89,,,48.63,38.59,,109.86,3/31/2004,-92.14,,,1315.59,1315.59,,15.52,-58.38,40.49,,,113.02,38.59,,97.25,9/30/2005,-97.74,,,1471.73,1471.73,,15.27,-25.3,-2.69,,,153.75,-21.29,238.72,124.17,9/30/2006,42.75,302.22,238.21,1531.87,1531.87,238.47,15.89,,,-56.47,-56.47,59.66,-297.54,405.15,124.17,3/31/2008,-92.87,690.6,452.3,1403.42,1403.42,377.6,15.89,-3.1,12.99,-270.02,-270.02,101.65,-552.02,369.47,124.17,3/31/2009,-188.36,572.05,351.96,1265.57,1265.57,368.64,16.51,-0.07,69.15,-257.86,-257.86,174.16
Kanoria Dyechem Ltd.,0.54,7.05,0.35,6/30/1992,0.08,6.49,5.95,2.23,2.23,6.55,0.78,,,0.6,0.66,0.6,0.57,4.5,0.43,6/30/1993,-0.28,4.36,4.09,2.36,2.36,4.37,0.78,,,0.04,0.06,0.83,0.67,3.56,0.6,3/31/1994,0.15,3.43,3.29,3.55,3.55,3.51,0.64,,,0.26,0.29,1.01,1.04,6.13,3.95,3/31/1995,-1.12,5.69,5.45,8.16,8.16,6.04,0.5,,,0.37,0.46,1.73,2.23,15.96,3.98,3/31/1996,-2.44,15.48,14.72,15.34,15.34,15.91,0.5,-6.16,3.62,1.19,1.19,4.8,3.41,27.2,4,3/31/1997,-1.82,25.44,23.55,19.71,19.71,27.11,0.5,-4.17,2.57,1.17,1.39,5.29,6.25,39.63,4,3/31/1998,-0.1,37.05,33.77,36.91,36.91,39.61,0.38,-10.85,0.71,2.84,3.06,8,1.35,35.35,4,3/31/1999,-7.96,40.61,36.1,38.34,38.34,34.87,0.46,-2.1,2.94,-4.9,-4.9,11.65,-8.66,39.92,4,3/31/2000,-14.26,49.61,43.51,36.75,36.75,39.68,0.36,-0.88,2.18,-10,-10,16.79,-15.71,37.27,4,3/31/2001,-20.81,43.46,41.23,33.03,33.03,37.23,0.36,0.24,0.78,-7.06,-7.06,20.88
Karanpura Development Co. Ltd.,-4.32,0.59,0.2,3/31/1997,5.56,1.16,0.78,15.83,15.83,0.47,,0.05,-0.39,-0.56,-0.56,2.26,-4.47,1.83,0.2,3/31/2001,11.95,2.05,1.69,20.44,20.44,1.74,,0.01,0.13,-0.22,-0.22,1.84,-5.2,2.12,0.2,3/31/2002,15.9,2.82,1.92,24.37,24.37,1.89,,0.15,-0.06,-0.7,-0.7,1.76,-6.08,2.02,0.2,3/31/2003,20.8,2.9,1.97,29.08,29.08,1.93,,-0.02,-0.02,-0.88,-0.88,1.55,-7.16,1.71,0.2,3/31/2004,26.59,2.79,1.67,34.88,34.88,1.64,,0.02,0,-1.08,-1.08,1.55,-8.51,1.9,0.2,3/31/2005,33.61,3.28,1.88,42.24,42.24,1.86,,0.01,-0.05,-1.35,-1.35,1.68,-10.14,2.02,0.2,3/31/2006,42.12,3.63,1.92,50.65,50.65,1.97,,0.02,0.01,-1.63,-1.63,1.59,-12.35,1.83,0.2,3/31/2007,52.19,4.08,2.06,61.03,61.03,1.79,,0.03,-0.12,-2.21,-2.21,1.86,-14.91,1.56,0.2,3/31/2008,64.45,4.07,1.61,73.28,73.28,1.52,,0.04,-0.05,-2.56,-2.56,1.83,-17.47,1.78,0.2,3/31/2009,79.98,4.34,1.32,88.09,88.09,1.28,,0.03,0.02,-2.56,-2.56,1.26
Karnataka Financial Services Ltd.,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,0.7,,,,,,2.01,3.98,2.5,3/31/1995,9.56,2.83,0.43,35.89,35.89,,0.82,-0.76,2.43,0.68,1.15,4.68,4.95,8.55,5,3/31/1996,-1.46,7.09,1.35,42.37,42.37,,0.67,-1.11,-0.58,0.44,1.46,9.1,3.58,9.98,5,3/31/1997,-0.59,9.38,2.13,52.12,52.12,,0.8,1.24,-3.47,-0.28,0.6,10.64,3.7,13.86,5,3/31/1998,0.81,13.74,2.41,62.29,62.29,,0.95,1.24,-4.95,0.12,0.12,12.49,3.37,14.06,5,3/31/1999,-1.58,14.39,2.2,60.32,60.32,,0.77,5.48,1.51,-0.33,-0.33,13.29,-1,10.02,5,3/31/2000,3.87,14.39,1.94,52.9,52.9,0.07,0.63,-1.13,7.55,-4.37,-4.37,8.57,-29.59,3.17,5,3/31/2001,2.01,31.76,3.07,39.21,39.21,,0.55,3.65,2.33,-28.59,-28.59,22.24,-45.36,3.04,5,3/31/2002,-18.83,18.81,2,28.53,28.53,0.03,0.65,-0.05,3.26,-15.77,-15.77,25.43
Kengold (India) Ltd.,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,0.39,,,,,,,,0.34,3/31/1994,0.23,,,0.65,0.65,,0.37,,,,,,,,8.02,3/31/1995,1.71,,,8.62,8.62,,0.4,,,,,0.56,,2.87,8.02,3/31/1996,-1.19,3.14,2.99,11.61,11.61,2.59,0.32,-4.48,0.73,0.01,0.01,1.98,-0.82,1.82,8.02,3/31/1998,0.42,2.68,2.02,9.76,9.76,1.54,0.26,-0.02,-0.43,-0.53,-0.53,0.67,-1.71,2.23,8.02,3/31/1999,0.52,2.77,2.08,9.07,9.07,2.11,0.21,-0.12,-0.26,-0.89,-0.89,0.5,2.13,22.28,3.94,3/31/2000,-6.39,23.21,22.1,19.3,19.3,22.15,0.18,0.26,-0.82,-2.31,-2.31,8.45,-0.09,37.7,9.52,6/30/2001,-1.38,41.45,39.22,19.55,19.55,37.07,0.2,1.28,-1.16,-2.22,-2.22,4.6
Kingfisher Airlines Ltd.,8.92,68.22,15.53,3/31/2004,2.69,67.66,62.1,86.99,86.99,63.5,149.61,-14.87,-13.82,0.37,0.56,26.3,-2.54,320.86,16.2,3/31/2005,-95.29,340.39,315.73,407.98,407.98,307.88,143.14,-171.6,-14.02,-19.53,-19.53,103.37,125.95,1351.82,98.18,6/30/2006,-171.49,1692.37,1606.63,1051.98,1051.98,1286.66,136.67,-345.55,-179.98,-340.55,-340.55,349.62,249.23,2168.37,135.47,6/30/2007,-470.01,2587.95,2477.26,1803.12,1803.12,1801.34,132.63,119.25,-552.36,-419.58,-419.58,484.23,63.07,1569.9,135.8,3/31/2008,-860.22,1758.04,2137.28,1830.07,1830.07,1456.28,126.16,13.82,-519.55,-188.14,-188.14,651.11,-2488.26,6236.04,265.91,3/31/2009,-7044.83,7844.87,7078.72,7444.78,7444.78,5354.8,121.31,455.12,-782.08,-1608.83,-1608.83,3535.12,-4233.38,5361.82,265.91,3/31/2010,-7939.22,7106.31,5940.42,8006.95,8006.95,5089.88,117.26,360.4,-1701.65,-1744.49,-1744.49,3531.19,-4002.08,6500.09,497.78,3/31/2011,-3928.45,7527.49,6334.85,8618.39,8618.39,6359.64,111.6,95.19,-16.05,-1027.4,-1027.4,4871.44,-6213.15,5826.86,577.65,3/31/2012,-7686.29,8154.87,6874.04,9362.51,9362.51,5493.41,106.75,-307.2,-906.61,-2328.01,-2328.01,8486.08,-14281.64,683.46,808.72,3/31/2013,-8312.91,9030.45,1999.51,2983.9,2983.9,501.38,109.99,-39.51,-1428.79,-8346.99,-8346.99,8912.17
Krishna Plastochem Ltd.,,,,,,,,,,,0.74,,,,,,,,,,,,,,,,0.79,,,,,,,,,,,,,,,,0.62,,,,,,0.41,3.82,5.68,3/31/1993,2.13,3.47,3.27,7.68,7.68,3.73,0.57,,,0.39,0.39,0.68,0.73,12.33,5.68,3/31/1994,1.9,12.13,11.02,15.98,15.98,12.21,0.57,,,0.29,0.86,2.98,3.31,19.56,5.68,3/31/1995,3.3,16.03,13.34,16.28,16.28,19.35,0.68,,,2.57,3.42,3.79,6.72,41.69,5.68,3/31/1996,9.53,38.68,36.07,24.64,24.64,41.51,0.62,,,3.42,3.98,3.6,10.1,41.3,5.68,3/31/1997,8.67,37.66,34.02,28.06,28.06,41.14,0.62,-5.69,9.23,3.38,3.95,3.45,13.03,41.65,5.68,3/31/1998,11.33,38.84,34.45,36.35,36.35,41.55,0.51,-3.14,3.12,2.92,3.23,4.72,14.82,36.31,5.68,3/31/1999,15.69,34.55,29.55,39.79,39.79,35.94,0.4,-1.96,3.38,1.79,1.79,4.48
Magna Steyr India Pvt. Ltd. [Merged],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.88,72.2,30,3/31/2014,0.26,68.79,65.46,40.34,40.34,71.54,,-3.37,7.57,3.41,3.41,26.63,-16.65,62.63,30,3/31/2015,-2.36,61.4,57.94,40.69,40.69,62.27,,-2.02,0.69,1.23,1.23,27.04,-9.85,71.61,30,3/31/2016,5.08,64.81,60.17,48.66,48.66,70.84,,-2.05,1.99,6.8,6.8,27.82,-6.63,67.6,30,3/31/2017,4.25,64.37,60.25,46.2,46.2,67.05,,-1.71,0.61,3.23,3.23,22.46
Mahendra Petrochemicals Ltd.,2.01,23.32,3.84,3/31/1993,5.4,21.55,20.3,13.59,13.59,23.32,6.04,,,0.87,1.56,5.19,14.96,25.85,15.97,3/31/1994,29.37,24.31,23.41,40.56,40.56,25.85,5.82,,,0.82,1.61,6.07,19.44,30.95,17.86,6/30/1995,17.93,30.2,29.59,72.6,72.6,30.9,6.09,-41.81,5.76,2.6,2.6,4.54,19.7,80.73,17.87,6/30/1996,5.2,81.66,75.58,81.22,81.22,80.7,5.8,-2.17,0.73,0.25,0.25,5.97,20.12,94.6,17.87,6/30/1997,1.4,94.51,86.27,79.51,79.51,94.57,5.52,-1.15,9.07,0.42,0.42,5.86,16.99,83,17.87,6/30/1998,-1.58,83.71,74,81.88,81.88,82.87,5.25,-3.6,6.43,-0.49,-0.49,7.63,-53.89,114.44,17.92,9/30/2002,-15.5,121.15,110.28,45.55,45.55,114.44,5.51,-2.35,2.01,-5.88,-5.88,14.27,-53.52,109.12,17.92,9/30/2003,-16.97,109.94,106.38,48,48,109.12,5.6,-5.07,5.58,0.37,0.37,16.63,-53.61,62.18,17.92,9/30/2005,-51.1,71.27,66.83,42.68,42.68,62.1,5.87,-3.97,4.85,-8.63,-8.63,18.24,-57.32,45.84,17.92,9/30/2006,-51.08,47.52,43.79,33.93,33.93,45.74,5.71,0.08,0.46,-3.71,-3.71,12.8
Mardia Chemicals Ltd.,164.27,253.34,36.48,3/31/1995,82.06,208.93,178.53,461.5,461.5,227.81,7.58,,,27.42,37.13,28.26,318.46,284.46,39.88,3/31/1996,36.8,270.82,225.84,675.59,675.59,227.22,8.18,-209.01,54.77,30.09,30.09,28.84,247.93,160.93,39.88,3/31/1997,-20.44,222.2,152.13,796.53,796.53,158.67,7.98,-186.53,62.6,-70.54,-70.54,25.02,233.37,192.13,39.88,3/31/1998,-52.45,204.82,152.05,998.18,998.18,190.25,7.14,-219.81,108.39,-14.56,-14.56,47.53,-125.53,196.33,39.88,3/31/1999,-176.22,558.53,219.84,861.02,861.02,194.3,6.98,-45.17,64.61,-358.9,-358.9,140.74,-407.57,207.12,39.88,3/31/2000,-201.23,493.36,237.6,762.4,762.4,206.25,7.18,-15.3,-8.93,-282.04,-282.04,142,-470.91,328.93,39.88,3/31/2001,-226.22,390.49,149.73,911.25,911.25,149.89,7.26,-15.85,-0.22,-63.33,-63.33,143.23,-788.3,199.14,39.88,3/31/2002,-232.88,508.98,187.21,860.45,860.45,198.04,6.98,1.55,-4.81,-317.39,-317.39,147.19,-823.56,221.24,39.88,3/31/2003,-206.17,251.38,205.45,809.38,809.38,219.02,6.98,0,-21.27,-35.26,-35.26,108.9,-875.86,137.4,39.88,3/31/2004,-215.92,180.23,136.44,748.99,748.99,133.56,6.38,0.02,-4.19,-52.31,-52.31,98.22
Medexport (India) Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.03,1.88,3/31/2014,1.89,0.03,0.03,1.91,1.91,,,,,0,0,0.02,0.04,0.23,3.15,3/31/2015,-0.06,0.2,0.18,3.26,3.26,,,,,0.03,0.03,0.07,0.04,0.13,7,3/31/2016,-0.3,0.13,0.13,7.35,7.35,0.13,,-6.28,2.12,0,0,0.31,0.04,0.1,7,3/31/2017,-0.41,0.1,0.06,7.46,7.46,0.1,,-2.07,2.02,0,0,0.42,0.04,0.11,7,3/31/2018,-0.47,0.11,0.06,7.51,7.51,0.11,,0.06,-0.06,0,0,0.47,0.04,0.12,7,3/31/2019,-0.53,0.12,0.06,7.59,7.59,0.12,,-0.06,0.08,0,0,0.55,0.04,0.2,7,3/31/2020,-0.7,0.2,0.2,7.74,7.74,0.08,,-0.17,0.15,0,0,0.7
