,Paid up equity capital (net of forfeited equity capital),Reserves and Funds,Date,Total income,Total expenses,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Net cash flow from operating activities,Net cash inflow or (outflow) from investing activities,Months,Company,Equity
424,20.58,0.37,6/30/1998,80.07,87.88,69.69,69.69,20.04,0.75,79.51,-9.29,0.35,15.0,G T C L Mobile-Com Technology Ltd.,20.95
425,20.58,-3.07,6/30/1999,48.12,48.79,72.96,72.96,16.01,-3.45,46.05,-4.89,1.88,12.0,G T C L Mobile-Com Technology Ltd.,17.509999999999998
426,20.67,-10.49,6/30/2000,38.47,43.66,71.74,71.74,16.57,-7.42,35.44,-0.82,2.97,12.0,G T C L Mobile-Com Technology Ltd.,10.180000000000001
427,20.67,-17.64,6/30/2001,23.46,27.53,64.07,64.07,15.62,-7.15,20.35,4.01,3.11,12.0,G T C L Mobile-Com Technology Ltd.,3.030000000000001
428,20.67,-22.84,6/30/2002,52.4,57.33,63.51,63.51,12.59,-5.2,51.37,-1.17,1.03,12.0,G T C L Mobile-Com Technology Ltd.,-2.169999999999998
429,20.67,-23.01,6/30/2003,19.48,18.99,49.64,49.64,11.36,-0.17,13.93,11.24,0.68,12.0,G T C L Mobile-Com Technology Ltd.,-2.34
430,1.5,8.03,3/31/2005,42.35,41.51,44.81,44.81,13.35,1.61,42.06,,,12.0,Gallium Industries Ltd.,9.53
431,1.5,10.17,3/31/2006,46.12,52.14,63.55,63.55,24.83,2.66,46.0,,,12.0,Gallium Industries Ltd.,11.67
432,1.5,11.55,3/31/2007,49.19,53.52,78.25,78.25,25.65,1.81,48.73,,,12.0,Gallium Industries Ltd.,13.05
433,1.5,12.14,3/31/2008,51.16,52.2,80.97,80.97,22.57,0.77,50.69,,,12.0,Gallium Industries Ltd.,13.64
434,1.5,11.02,9/30/2009,42.01,55.73,79.21,79.21,23.57,-1.12,36.32,,,18.0,Gallium Industries Ltd.,12.52
435,1.5,7.79,3/31/2011,62.65,60.61,98.82,98.82,45.42,-3.22,60.37,,,18.0,Gallium Industries Ltd.,9.29
436,1.5,-0.59,3/31/2012,44.91,66.8,92.48,92.48,78.85,-8.39,44.8,,,12.0,Gallium Industries Ltd.,0.91
437,1.5,-0.54,3/31/2013,62.23,69.77,110.04,110.04,66.91,0.06,61.7,,,12.0,Gallium Industries Ltd.,0.96
438,3.15,-0.08,3/31/2014,72.47,74.21,98.78,98.78,82.43,0.46,69.65,,,12.0,Gallium Industries Ltd.,3.07
439,4.11,0.49,3/31/2015,44.18,59.54,116.02,116.02,82.27,0.6,43.19,-3.02,0.3,12.0,Gallium Industries Ltd.,4.6000000000000005
440,1.0,,3/31/1992,1.13,1.26,4.35,4.35,1.45,-0.13,1.09,,,12.0,Geekay Exim (India) Ltd.,
441,4.0,15.71,3/31/1993,40.4,34.74,36.39,36.39,8.95,6.45,39.13,,,12.0,Geekay Exim (India) Ltd.,19.71
442,6.4,21.28,3/31/1994,106.58,98.08,84.93,84.93,27.75,9.02,103.89,,,12.0,Geekay Exim (India) Ltd.,27.68
443,6.4,37.13,3/31/1995,211.22,192.83,168.46,168.46,66.47,18.09,209.79,,,12.0,Geekay Exim (India) Ltd.,43.53
444,9.6,96.52,3/31/1996,284.08,261.4,262.81,262.81,125.85,24.44,267.29,-33.21,-8.79,12.0,Geekay Exim (India) Ltd.,106.11999999999999
445,16.8,91.89,3/31/1997,276.57,276.21,392.92,392.92,151.31,3.46,269.31,-18.86,3.37,12.0,Geekay Exim (India) Ltd.,108.69
446,16.8,107.3,3/31/1998,209.55,185.02,395.3,395.3,113.56,17.26,195.09,14.74,-27.35,12.0,Geekay Exim (India) Ltd.,124.1
447,16.8,108.89,3/31/1999,88.43,85.31,411.15,411.15,122.51,3.0,88.36,3.69,,12.0,Geekay Exim (India) Ltd.,125.69
448,16.8,110.52,3/31/2000,86.19,83.98,417.92,417.92,96.55,2.04,78.03,1.79,-24.54,12.0,Geekay Exim (India) Ltd.,127.32
449,16.8,108.56,3/31/2001,210.1,212.17,474.93,474.93,150.59,-1.96,194.91,1.92,-2.55,12.0,Geekay Exim (India) Ltd.,125.36
450,,,,,,,,,,,,,,Global E-Solutions Ltd.,
451,,,,,,,,,,,,,,Global E-Solutions Ltd.,
452,,,,,,,,,,,,,,Global E-Solutions Ltd.,
453,,,,,,,,,,,,,,Global E-Solutions Ltd.,
454,0.5,0.01,3/31/1995,,0.62,1.1,1.1,0.43,0.01,,,,12.0,Global E-Solutions Ltd.,0.51
455,1.8,0.01,3/31/1996,,2.3,4.82,4.82,2.09,0.05,,-1.66,-0.09,12.0,Global E-Solutions Ltd.,1.81
456,3.95,0.02,3/31/1997,3.29,1.35,5.84,5.84,1.03,,3.26,,,12.0,Global E-Solutions Ltd.,3.97
457,3.95,-0.35,3/31/1998,1.89,2.5,5.2,5.2,0.72,-0.37,1.89,-0.06,,12.0,Global E-Solutions Ltd.,3.6
458,3.95,-1.09,3/31/1999,0.79,1.29,4.35,4.35,0.96,-0.74,0.79,0.36,-0.01,12.0,Global E-Solutions Ltd.,2.8600000000000003
459,4.75,0.28,6/30/2000,6.36,4.99,6.69,6.69,1.66,1.37,4.58,0.38,-0.52,15.0,Global E-Solutions Ltd.,5.03
460,7.54,0.19,3/31/1998,0.39,0.2,9.25,9.25,0.21,0.19,,,,12.0,Gujarat Goldcoin Ceramics Ltd.,7.73
461,11.98,0.27,3/31/1999,0.12,0.04,43.13,43.13,2.31,0.08,,,,12.0,Gujarat Goldcoin Ceramics Ltd.,12.25
462,16.1,0.07,3/31/2000,19.57,25.35,59.56,59.56,7.87,0.07,19.52,,,12.0,Gujarat Goldcoin Ceramics Ltd.,16.17
463,17.1,0.32,3/31/2001,42.19,44.46,66.45,66.45,7.42,0.25,42.02,,,12.0,Gujarat Goldcoin Ceramics Ltd.,17.42
464,17.1,1.24,3/31/2002,46.93,47.22,66.8,66.8,8.94,0.91,46.59,,,12.0,Gujarat Goldcoin Ceramics Ltd.,18.34
465,17.1,1.66,3/31/2003,45.78,45.78,64.08,64.08,7.33,0.48,45.61,,,12.0,Gujarat Goldcoin Ceramics Ltd.,18.76
466,17.1,2.05,3/31/2004,40.97,39.42,63.4,63.4,8.62,0.45,40.8,,,12.0,Gujarat Goldcoin Ceramics Ltd.,19.150000000000002
467,17.1,2.06,3/31/2005,38.09,38.45,61.73,61.73,10.07,0.01,37.94,5.22,-0.6,12.0,Gujarat Goldcoin Ceramics Ltd.,19.16
468,17.1,-17.53,3/31/2006,24.91,39.71,40.47,40.47,8.67,-20.79,24.63,3.19,-0.11,12.0,Gujarat Goldcoin Ceramics Ltd.,-0.4299999999999997
469,17.1,-21.4,3/31/2007,3.46,4.01,34.16,34.16,6.3,-3.87,2.51,0.16,0.07,12.0,Gujarat Goldcoin Ceramics Ltd.,-4.299999999999997
470,,,,,,,,,,,,,,Gujarat Optical Communication Ltd.,
471,,,3/31/1995,,,97.91,97.91,1.73,,,1.45,-17.3,12.0,Gujarat Optical Communication Ltd.,
472,17.1,-0.05,3/31/1996,2.42,3.22,67.53,67.53,10.52,-0.05,0.4,1.08,-32.25,12.0,Gujarat Optical Communication Ltd.,17.05
473,17.1,-6.3,3/31/1997,2.87,10.64,74.77,74.77,10.75,-6.25,2.16,-6.68,-9.72,12.0,Gujarat Optical Communication Ltd.,10.8
474,17.1,-5.87,6/30/1998,66.18,84.42,109.84,109.84,26.78,0.43,65.4,-1.81,-2.15,15.0,Gujarat Optical Communication Ltd.,11.23
475,17.1,-11.22,6/30/1999,69.99,63.97,112.1,112.1,19.86,-5.35,68.29,-0.84,1.29,12.0,Gujarat Optical Communication Ltd.,5.880000000000001
476,17.1,-16.02,6/30/2000,68.49,90.12,127.75,127.75,23.76,-4.8,65.57,-3.2,2.17,12.0,Gujarat Optical Communication Ltd.,1.0800000000000018
477,17.1,-34.06,6/30/2001,26.56,41.09,119.9,119.9,22.59,-18.04,24.78,3.59,1.76,12.0,Gujarat Optical Communication Ltd.,-16.96
478,17.1,-49.02,6/30/2002,56.56,71.09,114.5,114.5,23.78,-14.96,55.23,6.66,1.29,12.0,Gujarat Optical Communication Ltd.,-31.92
479,17.1,-63.36,6/30/2003,20.71,18.59,84.78,84.78,12.91,-14.34,17.38,5.48,0.75,12.0,Gujarat Optical Communication Ltd.,-46.26
480,13.83,-9.71,3/31/1995,2.28,10.92,32.61,32.61,3.81,-7.24,2.24,-25.14,-0.13,12.0,Gujarat Perstorp Electronics Ltd.,4.119999999999999
481,13.83,-21.84,9/30/1996,3.01,14.07,28.0,28.0,3.33,-12.13,2.92,0.43,0.07,18.0,Gujarat Perstorp Electronics Ltd.,-8.01
482,13.83,-30.01,9/30/1997,2.33,10.08,24.79,24.79,2.66,-8.17,0.19,-0.62,0.02,12.0,Gujarat Perstorp Electronics Ltd.,-16.18
483,13.83,-35.8,9/30/1998,5.71,14.08,29.61,29.61,3.44,-5.79,5.69,-8.11,3.7,12.0,Gujarat Perstorp Electronics Ltd.,-21.97
484,13.83,-38.61,3/31/1999,5.63,8.14,29.87,29.87,2.4,-2.81,5.54,-1.38,-0.17,6.0,Gujarat Perstorp Electronics Ltd.,-24.78
485,13.83,-41.92,3/31/2000,19.29,21.23,30.54,30.54,4.0,-3.31,19.24,0.16,-0.04,12.0,Gujarat Perstorp Electronics Ltd.,-28.090000000000003
486,13.83,-29.6,3/31/2001,41.95,31.22,32.23,32.23,5.99,12.32,28.86,,,12.0,Gujarat Perstorp Electronics Ltd.,-15.770000000000001
487,1.38,-19.74,3/31/2002,18.21,20.78,27.29,27.29,2.24,-2.59,17.12,-0.82,-0.07,12.0,Gujarat Perstorp Electronics Ltd.,-18.36
488,1.38,-22.18,3/31/2003,14.48,15.95,23.25,23.25,2.95,-2.44,14.33,3.73,-0.11,12.0,Gujarat Perstorp Electronics Ltd.,-20.8
489,1.38,-28.55,3/31/2004,4.89,9.75,16.05,16.05,1.71,-6.37,4.84,1.98,-0.02,12.0,Gujarat Perstorp Electronics Ltd.,-27.17
490,13.76,44.79,3/31/2011,211.18,201.25,325.92,325.92,173.25,9.93,,1.99,-39.45,12.0,Gupta Exim (India) Pvt. Ltd.,58.55
491,13.76,56.44,3/31/2012,277.95,266.3,366.29,366.29,191.48,11.65,,46.73,-48.76,12.0,Gupta Exim (India) Pvt. Ltd.,70.2
492,23.76,51.05,3/31/2013,339.43,344.82,544.1,544.1,379.59,-5.39,,23.39,-19.44,12.0,Gupta Exim (India) Pvt. Ltd.,74.81
493,40.26,-30.68,3/31/2014,323.91,430.26,514.76,514.76,117.66,-116.37,323.06,-236.47,-2.4,12.0,Gupta Exim (India) Pvt. Ltd.,9.579999999999998
494,40.26,-103.69,3/31/2015,330.31,395.82,489.07,489.07,94.46,-71.96,330.29,-47.78,-3.15,12.0,Gupta Exim (India) Pvt. Ltd.,-63.43
495,40.26,-341.21,3/31/2016,244.86,489.18,343.1,343.1,166.0,-237.52,244.14,68.2,-8.02,12.0,Gupta Exim (India) Pvt. Ltd.,-300.95
496,40.26,-408.94,3/31/2017,248.25,307.29,246.48,246.48,137.9,-67.73,247.92,66.64,-3.31,12.0,Gupta Exim (India) Pvt. Ltd.,-368.68
497,40.26,-462.61,3/31/2018,270.51,333.03,237.13,237.13,197.47,-53.74,256.58,87.08,-0.54,12.0,Gupta Exim (India) Pvt. Ltd.,-422.35
498,40.26,-488.65,3/31/2019,165.63,159.76,158.15,158.15,148.09,-26.05,163.79,5.81,0.96,12.0,Gupta Exim (India) Pvt. Ltd.,-448.39
499,40.26,-502.61,3/31/2020,68.4,79.27,140.73,140.73,552.78,-13.96,68.07,1.23,0.0,12.0,Gupta Exim (India) Pvt. Ltd.,-462.35
500,,,,,,,,,,,,,,Hemi Petro Products Ltd.,
501,,,,,,,,,,,,,,Hemi Petro Products Ltd.,
502,,,,,,,,,,,,,,Hemi Petro Products Ltd.,
503,,,,,,,,,,,,,,Hemi Petro Products Ltd.,
504,,,,,,,,,,,,,,Hemi Petro Products Ltd.,
505,,,,,,,,,,,,,,Hemi Petro Products Ltd.,
506,3.68,,3/31/1995,,,3.9,3.9,0.22,,,,,12.0,Hemi Petro Products Ltd.,
507,3.68,,3/31/1996,,,3.96,3.96,0.17,,,,-1.46,12.0,Hemi Petro Products Ltd.,
508,3.68,-0.09,3/31/1997,0.3,0.43,3.74,3.74,0.12,-0.09,0.29,-0.34,0.47,12.0,Hemi Petro Products Ltd.,3.5900000000000003
509,3.68,-0.08,3/31/1998,0.76,0.88,4.24,4.24,0.09,-0.08,0.76,0.12,-0.7,12.0,Hemi Petro Products Ltd.,3.6
510,,,,,,,,,,,,,,Hico Products Ltd.,
511,,,,,,,,,,,,,,Hico Products Ltd.,
512,3.3,4.75,3/31/1989,60.95,60.94,36.03,36.03,7.35,0.12,60.81,,,15.0,Hico Products Ltd.,8.05
513,3.3,3.83,3/31/1990,49.43,51.39,33.54,33.54,6.21,-0.92,49.28,,,12.0,Hico Products Ltd.,7.13
514,3.3,4.18,3/31/1991,51.96,50.07,34.97,34.97,8.26,0.74,51.43,,,12.0,Hico Products Ltd.,7.4799999999999995
515,3.3,5.44,3/31/1992,64.66,64.52,36.28,36.28,9.28,1.76,62.82,,,12.0,Hico Products Ltd.,8.74
516,3.3,5.82,3/31/1993,72.14,72.52,41.39,41.39,11.55,0.71,70.6,,,12.0,Hico Products Ltd.,9.120000000000001
517,3.3,4.66,3/31/1994,67.75,69.74,42.63,42.63,13.23,-1.16,67.08,,,12.0,Hico Products Ltd.,7.96
518,3.3,2.44,3/31/1995,66.16,67.76,39.7,39.7,13.14,-2.22,63.76,5.74,-0.13,12.0,Hico Products Ltd.,5.74
519,3.3,2.76,9/30/1996,74.44,70.78,38.28,38.28,11.47,0.32,59.71,5.45,0.75,18.0,Hico Products Ltd.,6.06
520,2.79,3.64,12/31/1990,42.42,42.47,27.72,27.72,5.25,1.39,42.36,,,18.0,Him Ispat Ltd.,6.43
521,2.89,4.83,3/31/1992,45.45,47.3,40.22,40.22,10.65,1.14,45.14,,,15.0,Him Ispat Ltd.,7.720000000000001
522,4.6,-0.54,3/31/1993,58.05,66.11,44.22,44.22,15.04,-6.22,57.47,,,12.0,Him Ispat Ltd.,4.06
523,4.6,-10.2,3/31/1994,36.78,41.11,41.95,41.95,15.84,-9.82,34.56,,,12.0,Him Ispat Ltd.,-5.6
524,4.6,-17.46,3/31/1995,42.59,51.64,42.58,42.58,21.0,-7.26,42.21,,,12.0,Him Ispat Ltd.,-12.860000000000001
525,7.46,-22.54,3/31/1996,64.27,72.48,52.33,52.33,31.2,-5.08,63.23,4.13,-0.03,12.0,Him Ispat Ltd.,-15.079999999999998
526,7.46,-27.7,3/31/1997,73.57,77.05,57.27,57.27,33.64,-5.16,73.02,0.58,-0.36,12.0,Him Ispat Ltd.,-20.24
527,7.46,-35.32,3/31/1998,84.8,96.04,67.45,67.45,46.64,-7.62,84.52,6.7,-0.76,12.0,Him Ispat Ltd.,-27.86
528,7.46,-53.09,3/31/1999,86.65,101.42,55.48,55.48,39.14,-17.77,86.25,2.14,-0.24,12.0,Him Ispat Ltd.,-45.63
529,7.46,-69.35,3/31/2000,44.24,59.67,50.42,50.42,9.07,-16.26,44.17,-30.06,-0.09,12.0,Him Ispat Ltd.,-61.88999999999999
530,27.88,453.69,3/31/2012,3080.91,2948.08,2964.95,2964.95,1707.8,104.59,2964.18,-47.11,-222.19,12.0,India Glycols Ltd.,481.57
531,30.96,598.08,3/31/2013,3915.18,3793.39,3041.01,3041.01,1585.26,120.94,3856.37,768.89,-242.38,12.0,India Glycols Ltd.,629.0400000000001
532,30.96,474.6,3/31/2014,3495.48,3674.38,3329.76,3329.76,1966.94,-119.54,3449.31,-137.61,1.73,12.0,India Glycols Ltd.,505.56
533,30.96,424.33,3/31/2015,3298.38,3340.9,3329.68,3329.68,2345.31,-61.34,3125.51,-154.23,154.63,12.0,India Glycols Ltd.,455.28999999999996
534,30.96,771.25,3/31/2016,3326.38,3402.55,3816.35,3816.35,1751.19,-42.31,3267.29,1223.32,-79.18,12.0,India Glycols Ltd.,802.21
535,30.96,815.26,3/31/2017,3596.01,3575.45,3954.94,3954.94,2044.96,44.52,3580.34,302.43,-40.77,12.0,India Glycols Ltd.,846.22
536,30.96,910.16,3/31/2018,4177.29,4031.87,3892.24,3892.24,1815.21,98.08,4154.97,487.42,-145.29,12.0,India Glycols Ltd.,941.12
537,30.96,1043.44,3/31/2019,5144.77,5007.87,4229.25,4229.25,1858.25,148.21,5108.95,148.38,-132.99,12.0,India Glycols Ltd.,1074.4
538,30.96,1126.79,3/31/2020,5971.07,5816.44,4522.93,4522.93,2110.1,128.26,5190.49,344.28,-156.09,12.0,India Glycols Ltd.,1157.75
539,30.96,1214.06,3/31/2021,6176.93,6107.03,4252.72,4252.72,1814.03,84.3,5383.58,141.65,-157.31,12.0,India Glycols Ltd.,1245.02
540,26.59,-21.11,3/31/2002,16.21,16.37,71.39,71.39,63.0,-0.16,1.65,-8.06,8.37,12.0,India Securities Ltd. [Merged],5.48
541,26.59,-21.3,3/31/2003,13.88,14.07,56.32,56.32,48.34,-0.19,4.38,4.25,-1.77,12.0,India Securities Ltd. [Merged],5.289999999999999
542,26.59,-21.63,3/31/2004,11.31,11.64,55.95,55.95,48.18,-0.33,6.1,-1.5,-1.5,12.0,India Securities Ltd. [Merged],4.960000000000001
543,26.59,-22.96,3/31/2005,27.54,28.87,62.32,62.32,57.69,-1.33,18.54,20.26,-3.44,12.0,India Securities Ltd. [Merged],3.629999999999999
544,26.59,-17.69,3/31/2006,10.99,5.72,64.33,64.33,54.3,5.27,,-2.42,0.82,12.0,India Securities Ltd. [Merged],8.899999999999999
545,26.59,-13.03,3/31/2007,25.68,21.03,68.78,68.78,39.68,4.65,9.09,-2.47,-12.05,12.0,India Securities Ltd. [Merged],13.56
546,26.59,-8.55,3/31/2008,11.57,7.09,91.42,91.42,57.25,4.48,2.38,6.57,2.05,12.0,India Securities Ltd. [Merged],18.04
547,15.95,16.68,3/31/2009,55.4,51.42,61.22,61.22,24.59,3.98,2.4,-3.2,-555.41,12.0,India Securities Ltd. [Merged],32.629999999999995
548,19.96,343.5,3/31/2010,15.09,8.26,412.86,412.86,5.65,6.83,2.4,-12.97,-350.68,12.0,India Securities Ltd. [Merged],363.46
549,87.58,-2.17,3/31/2011,8.01,376.91,1809.23,1809.23,4.02,-368.9,2.2,53.6,-45.33,12.0,India Securities Ltd. [Merged],85.41
550,1.74,54.79,3/31/2012,206.36,203.2,174.79,174.79,116.56,1.77,205.03,-19.28,-9.65,12.0,Indian Products Pvt. Ltd.,56.53
551,1.74,54.85,3/31/2013,159.73,170.91,169.11,169.11,110.24,0.06,158.25,38.61,-10.6,12.0,Indian Products Pvt. Ltd.,56.59
552,4.5,54.78,3/31/2014,296.61,283.82,197.55,197.55,133.04,0.57,296.28,-16.27,-8.14,12.0,Indian Products Pvt. Ltd.,59.28
553,4.5,59.51,3/31/2015,310.22,346.73,247.16,247.16,178.03,4.83,303.43,-12.12,-1.37,12.0,Indian Products Pvt. Ltd.,64.00999999999999
554,4.5,61.8,3/31/2016,400.98,382.28,243.08,243.08,170.99,2.29,398.98,6.54,-5.54,12.0,Indian Products Pvt. Ltd.,66.3
555,4.5,62.06,3/31/2017,336.91,325.0,259.64,259.64,186.68,0.26,332.67,-10.21,-1.24,12.0,Indian Products Pvt. Ltd.,66.56
556,4.5,62.59,3/31/2018,324.43,362.4,262.05,262.05,186.68,0.53,324.1,15.89,-2.31,12.0,Indian Products Pvt. Ltd.,67.09
557,4.5,63.74,3/31/2019,306.49,273.97,235.09,235.09,156.18,1.15,301.23,39.81,-1.45,12.0,Indian Products Pvt. Ltd.,68.24000000000001
558,4.5,64.94,3/31/2020,250.51,241.16,214.18,214.18,134.33,1.2,243.33,46.32,-3.75,12.0,Indian Products Pvt. Ltd.,69.44
559,4.5,66.63,3/31/2021,328.53,317.22,217.72,217.72,133.87,1.69,321.3,-2.86,-3.76,12.0,Indian Products Pvt. Ltd.,71.13
560,,,,,,,,,,,,,,Indiana Dairy Specialities Ltd.,
561,,,,,,,,,,,,,,Indiana Dairy Specialities Ltd.,
562,,,,,,,,,,,,,,Indiana Dairy Specialities Ltd.,
563,,,,,,,,,,,,,,Indiana Dairy Specialities Ltd.,
564,,,,,,,,,,,,,,Indiana Dairy Specialities Ltd.,
565,,,,,,,,,,,,,,Indiana Dairy Specialities Ltd.,
566,3.0,0.53,3/31/1993,4.94,3.95,4.81,4.81,0.72,1.01,4.94,,,12.0,Indiana Dairy Specialities Ltd.,3.5300000000000002
567,3.0,2.2,3/31/1994,10.6,8.33,30.56,30.56,1.09,2.3,10.49,,,12.0,Indiana Dairy Specialities Ltd.,5.2
568,6.07,7.08,3/31/1995,22.74,20.23,26.85,26.85,2.57,3.09,22.72,0.59,-12.02,12.0,Indiana Dairy Specialities Ltd.,13.15
569,6.09,10.46,6/30/1996,59.89,55.71,52.7,52.7,10.49,4.95,59.79,7.27,-14.82,15.0,Indiana Dairy Specialities Ltd.,16.55
570,,,,,,,,,,,,,,Indianroots Shopping Ltd.,
571,,,,,,,,,,,,,,Indianroots Shopping Ltd.,
572,,,,,,,,,,,,,,Indianroots Shopping Ltd.,
573,,,,,,,,,,,,,,Indianroots Shopping Ltd.,
574,,,,,,,,,,,,,,Indianroots Shopping Ltd.,
575,0.06,-0.23,3/31/2013,,0.23,0.08,0.08,0.25,-0.23,,-0.06,,2.0,Indianroots Shopping Ltd.,-0.17
576,0.09,-6.91,3/31/2014,5.7,30.8,25.0,25.0,13.03,-24.65,5.61,-27.64,-5.43,12.0,Indianroots Shopping Ltd.,-6.82
577,0.13,12.59,3/31/2015,19.83,35.38,27.94,27.94,15.14,-15.57,19.34,-21.07,1.3,12.0,Indianroots Shopping Ltd.,12.72
578,0.14,30.04,3/31/2016,21.18,34.99,43.92,43.92,13.62,-14.05,21.02,-31.54,0.84,12.0,Indianroots Shopping Ltd.,30.18
579,0.14,23.64,3/31/2017,3.99,10.25,44.27,44.27,20.46,-6.4,3.71,-6.26,0.02,12.0,Indianroots Shopping Ltd.,23.78
580,9.08,179.63,3/31/2012,328.82,322.64,447.02,447.02,155.77,32.37,325.64,6.4,-53.35,12.0,Inox India Pvt. Ltd.,188.71
581,9.08,413.15,3/31/2013,400.88,369.7,701.82,701.82,182.4,44.51,390.61,,,12.0,Inox India Pvt. Ltd.,422.22999999999996
582,9.08,333.62,3/31/2014,337.25,317.95,681.37,681.37,276.8,20.45,314.01,91.03,18.13,12.0,Inox India Pvt. Ltd.,342.7
583,9.08,320.71,3/31/2015,346.33,336.7,707.91,707.91,293.24,15.79,328.03,42.61,2.03,12.0,Inox India Pvt. Ltd.,329.78999999999996
584,9.08,239.79,3/31/2016,342.66,380.02,629.32,629.32,284.85,-55.68,331.34,87.07,-20.94,12.0,Inox India Pvt. Ltd.,248.87
585,9.08,230.83,3/31/2017,323.0,333.62,693.19,693.19,323.34,12.47,308.1,33.51,-7.6,12.0,Inox India Pvt. Ltd.,239.91000000000003
586,9.08,256.97,3/31/2018,463.49,441.29,822.43,822.43,451.47,25.54,449.76,78.65,-56.07,12.0,Inox India Pvt. Ltd.,266.05
587,9.08,232.42,3/31/2019,652.43,705.25,747.15,747.15,439.02,-23.93,638.68,59.48,-22.03,12.0,Inox India Pvt. Ltd.,241.5
588,9.08,302.8,3/31/2020,663.94,563.81,664.64,664.64,322.44,70.64,643.73,163.9,-1.91,12.0,Inox India Pvt. Ltd.,311.88
589,9.08,398.75,3/31/2021,613.25,508.48,728.51,728.51,298.84,97.16,590.73,228.52,28.72,12.0,Inox India Pvt. Ltd.,407.83
590,,,,,,,,,,,,,,Intercorridor Systems Ltd.,
591,,,,,,,,,,,,,,Intercorridor Systems Ltd.,
592,,,,,,,,,,,,,,Intercorridor Systems Ltd.,
593,,,,,,,,,,,,,,Intercorridor Systems Ltd.,
594,,,,,,,,,,,,,,Intercorridor Systems Ltd.,
595,,,,,,,,,,,,,,Intercorridor Systems Ltd.,
596,0.05,-0.02,3/31/2005,0.08,0.1,0.04,0.04,0.01,-0.02,0.08,-0.05,,9.0,Intercorridor Systems Ltd.,0.030000000000000002
597,0.05,0.02,3/31/2006,0.23,0.19,0.43,0.43,0.23,0.04,0.23,0.33,-0.42,12.0,Intercorridor Systems Ltd.,0.07
598,0.05,0.11,3/31/2007,0.39,0.3,0.46,0.46,0.23,0.09,0.39,0.1,-0.01,12.0,Intercorridor Systems Ltd.,0.16
599,0.05,0.1,3/31/2008,0.29,0.3,0.3,0.3,0.09,-0.01,0.29,0.02,-0.01,12.0,Intercorridor Systems Ltd.,0.15000000000000002
600,3.45,14.11,3/31/2002,96.41,94.23,66.63,66.63,13.97,2.96,95.61,,,12.0,International Electron Devices Ltd.,17.56
601,5.0,16.82,3/31/2003,162.76,162.38,96.69,96.69,27.01,3.89,162.39,,,12.0,International Electron Devices Ltd.,21.82
602,12.03,10.16,3/31/2004,214.51,213.31,129.85,129.85,34.29,4.08,213.81,8.82,-19.05,12.0,International Electron Devices Ltd.,22.189999999999998
603,31.06,25.06,3/31/2005,319.98,301.15,194.28,194.28,41.98,18.98,308.01,17.77,-31.91,12.0,International Electron Devices Ltd.,56.12
604,31.06,36.04,3/31/2006,351.13,342.64,270.72,270.72,81.04,16.28,351.12,8.3,-20.25,12.0,International Electron Devices Ltd.,67.1
605,31.06,27.57,3/31/2007,305.67,318.14,253.43,253.43,77.28,-8.45,300.35,,,12.0,International Electron Devices Ltd.,58.629999999999995
606,31.06,111.31,3/31/2008,352.66,335.61,321.08,321.08,66.47,15.18,352.66,,,12.0,International Electron Devices Ltd.,142.37
607,31.06,131.11,3/31/2009,421.78,405.43,335.56,335.56,50.06,19.8,421.78,,,12.0,International Electron Devices Ltd.,162.17000000000002
608,31.06,17.79,3/31/2010,132.96,241.15,338.38,338.38,108.81,-109.66,130.13,14.14,-0.23,12.0,International Electron Devices Ltd.,48.849999999999994
609,31.06,15.13,3/31/2011,229.86,227.41,331.4,331.4,99.9,-0.46,226.78,58.02,-24.81,12.0,International Electron Devices Ltd.,46.19
610,72.02,834.63,3/31/2012,4912.44,4869.05,3416.98,3416.98,1532.7,48.67,4782.08,284.29,-329.34,12.0,J B F Industries Ltd.,906.65
611,72.63,881.79,3/31/2013,5053.91,4986.43,3525.65,3525.65,1547.78,51.45,4981.82,358.86,-43.55,12.0,J B F Industries Ltd.,954.42
612,65.32,915.32,3/31/2014,5329.84,5283.96,3432.1,3432.1,1537.93,15.11,5267.82,384.31,129.75,12.0,J B F Industries Ltd.,980.6400000000001
613,65.5,1021.84,3/31/2015,4600.12,4410.46,3574.49,3574.49,1399.22,139.43,4543.68,287.16,-393.17,12.0,J B F Industries Ltd.,1087.3400000000001
614,81.87,1477.08,3/31/2016,4025.86,4008.1,4318.55,4318.55,1831.39,61.73,3939.94,125.28,-352.23,12.0,J B F Industries Ltd.,1558.9499999999998
615,81.87,1509.86,3/31/2017,4407.87,4451.01,4765.89,4765.89,2211.92,35.63,4271.45,471.21,-145.55,12.0,J B F Industries Ltd.,1591.73
616,81.87,1384.65,3/31/2018,3699.66,3737.06,4758.21,4758.21,2502.84,-122.78,3573.86,-417.95,-25.57,12.0,J B F Industries Ltd.,1466.52
617,81.87,621.82,3/31/2019,2977.4,3755.09,4819.38,4819.38,3710.49,-758.09,2964.12,223.69,-38.97,12.0,J B F Industries Ltd.,703.69
618,81.87,304.34,3/31/2020,2841.87,3173.8,4755.66,4755.66,3938.35,-333.5,2820.73,-196.1,29.24,12.0,J B F Industries Ltd.,386.21
619,81.87,110.69,3/31/2021,2216.33,2450.83,4682.78,4682.78,4088.39,-193.53,2210.16,103.31,-26.25,12.0,J B F Industries Ltd.,192.56
